"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"81",82,"E05000082","00ADGU","St Michael's",NA,4966.82969263,1446689.9114,448,0.000309672443600479
"82",83,"E05000083","00ADGW","Sidcup",NA,9969.05848348,2703155.39003,871,0.00032221603064554
"83",84,"E05000084","00ADGX","Thamesmead East",NA,9631.7733725,4834745.73187,291,6.01893080084294e-05
"84",85,"E05000085","00AEGJ","Alperton",NA,8982.20268103,2058515.97733,1,4.85786853737787e-07
"85",86,"E05000086","00AEGK","Barnhill",NA,10081.2595317,2979037.67882,0,0
"86",87,"E05000087","00AEGL","Brondesbury Park",NA,6882.12225325,1729199.28215,0,0
"87",88,"E05000088","00AEGM","Dollis Hill",NA,7281.42554765,2299550.51491,0,0
"88",89,"E05000089","00AEGN","Dudden Hill",NA,9680.35167613,1681457.48965,1,5.94722142042542e-07
"89",90,"E05000090","00AEGP","Fryent",NA,9254.88533788,2659394.67123,26,9.7766609376257e-06
"90",91,"E05000091","00AEGQ","Harlesden",NA,5242.76711741,1113705.73435,0,0
"91",92,"E05000092","00AEGR","Kensal Green",NA,5676.91846517,1120095.91107,1,8.92780689684875e-07
"92",93,"E05000093","00AEGS","Kenton",NA,7666.3524582,2243128.79703,0,0
"93",94,"E05000094","00AEGT","Kilburn",NA,5242.03033301,943305.85598,15,1.59015232492222e-05
"94",95,"E05000095","00AEGU","Mapesbury",NA,5797.33755332,1393467.08641,0,0
"95",96,"E05000096","00AEGW","Northwick Park",NA,8748.17440683,2679936.88408,0,0
"96",97,"E05000097","00AEGX","Preston",NA,7412.09785929,2388247.7867,0,0
"97",98,"E05000098","00AEGY","Queens Park",NA,6505.78612705,1486487.17142,0,0
"98",99,"E05000099","00AEGZ","Queensbury",NA,6820.63214833,2051244.50061,58,2.82755176101791e-05
"99",100,"E05000100","00AEHA","Stonebridge",NA,11142.6796271,4050630.78123,197,4.86344005758807e-05
"100",101,"E05000101","00AEHB","Sudbury",NA,8701.5665799,2124778.03433,0,0
"101",102,"E05000102","00AEHC","Tokyngton",NA,7748.03633945,2759198.14862,1,3.62424134161865e-07
"102",103,"E05000103","00AEHD","Welsh Harp",NA,9406.79846898,2318944.24618,48,2.06990746237215e-05
"103",104,"E05000104","00AEHE","Wembley Central",NA,7604.73555991,1604256.9823,0,0
